"# of Use","# Penggunaan"
"%1$s incl tax.","%1$s termasuk pajak."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"%s and above","%s dan diatas"
"(%d)","(%d)"
"(Copy data from: %s)","(Salin data dari: %s)"
"* Required Fields","* Field Wajib"
"-- Please Select --","-- Silahkan Pilih --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 secara default, jika tidak di set. Untuk segera disegarkan, Bersihkan Cache Keluaran Block HTML."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Peringatan!</strong> Menerapkan MAP sebagai default akan menyembunyikan seluruh harga pada frontend."
"A group with the same name already exists.","Grup dengan nama yang sama sudah ada."
"A name is required","Sebuah nama diperlukan"
"A product type is not defined for the indexer.","Jenis produk tidak ditentukan untuk pengindeks."
"ALL GROUPS","SELURUH GRUP"
"AM","AM"
"Action","Tindakan"
"Actual Price","Harga Sebenarnya"
"Add","Tambahkan"
"Add Attribute","Menambahkan Atribut"
"Add Design Change","Menambahkan Perubahan Design"
"Add Group","Tambahkan Grup"
"Add Group Price","Tambahkan Harga Grup"
"Add New","Tambahkan Baru"
"Add New Attribute","Tambahkan Atribut Baru"
"Add New Attribute Set","Tambahkan Set Atribut Baru"
"Add New Group","Tambahkan Grup Baru"
"Add New Images","Tambahkan Gambar Baru"
"Add New Option","Tambahkan Opsi Baru"
"Add New Row","Tambahkan Baris Baru"
"Add New Search Term","Tambahkan Istilah Pencarian baru"
"Add New Set","Tambahkan Set Baru"
"Add Product","Tambahkan Produk"
"Add Product To Websites","Tambahkan Produk ke Websites"
"Add Root Category","Tambahkan Sumber Kategori"
"Add Subcategory","Tambahkan Subkategori"
"Add Tax","Tambahkan Pajak"
"Add Tier","Tambahkan Tingkatan"
"Add attribute into attribute set","Tambahkan atribut kedalam set atribut"
"Add group into attribute set","Tambahkan grup kedalam set atribut"
"Add new custom option into product","Tambahkan Opsi custom baru kedalam produk"
"Add new values into custom option","Tambahkan nilai baru kedalam opsi custom"
"Add option","Tambahkan Opsi"
"Add to Cart","Tambahkan ke Kantung Belanja"
"Add to Compare","Tambahkan ke Perbandingan"
"Add to Wishlist","Tambahkan ke Daftar Permohonan"
"Additional Information","Informasi Tambahan"
"Alert Urls","Siaga Urls"
"All","Seluruh"
"All Product Types","Seluruh Tipe Produk"
"All Websites","Seluruh Website"
"All products","Seluruh produk"
"All products - recently added products, New products - products marked as new","Seluruh produk - produk yang baru ditambahkan, Produk baru - produk ditandai sebagai produk baru"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Seluruh produk dari set ini akan terhapus! Anda yakin ingin menghapus set atribut ini?"
"Allow All Products per Page","Izinkan semua produk per halaman"
"Allow Dynamic Media URLs in Products and Categories","Izinkan URL Media Dinamis dalam Kategori dan Produk"
"Allow HTML Tags on Frontend","Izinkan Tag HTML pada Frontend"
"Allowed File Extensions","File Ekstensi yang Diizinkan"
"Allowed file extensions to upload","Izinkan ekstensi file di unggah"
"An error occurred while adding products to websites.","Terjadi kesalahan ketika menambahkan produk ke website."
"An error occurred while clearing comparison list.","Terjadi kesalahan ketika membersihkan daftar perbandingan."
"An error occurred while deleting this review.","Terjadi kesalahan ketika menghapus ulasan ini."
"An error occurred while removing products from websites.","Terjadi kesalahan ketika menghapus produk dari websites."
"An error occurred while saving the URL rewrite","Terjadi kesalahan ketika menyimpan URL rewrite"
"An error occurred while saving the attribute set.","Terjadi kesalahan ketika menyimpan set atribut."
"An error occurred while saving the collection, aborting. Error message: %s","Terjadi kesalahan ketika menyimpan koleksi, batalkan. Pesan kesalahan: %s"
"An error occurred while saving the product. ","Terjadi kesalahan ketika menyimpan produk. "
"An error occurred while saving the search query.","Terjadi kesalahan ketika menyimpan permintaan pencarian."
"An error occurred while saving this group.","Terjadi kesalahan ketika menyimpan grup ini."
"An error occurred while saving this review.","Terjadi kesalahan ketika menyimpan ulasan ini."
"An error occurred while trying to delete the category.","Terjadi kesalahan ketika mencoba menghapus kategori."
"An error occurred while updating the product(s) attributes.","Terjadi kesalahan ketika memperbarui atribut produk(s)."
"An error occurred while updating the product(s) status.","Terjadi kesalahan ketika memperbarui status produk(s)."
"An invalid group ID is specified, skipping the record.","ID grup yang tidak valid ditentukan, arsip dilewati."
"An invalid option ID is specified for %s (%s), skipping the record.","ID opsi yang tidak valid ditentukan untuk %s (%s), arsip dilewati."
"An invalid store was specified.","Toko yang tidak valid ditentukan."
"Anchor Custom Text","Anchor Teks Custom"
"Anchor Custom Title","Anchor Judul Custom"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Berlaku hanya untuk katalog produk dan kategori. Setiap konten media akan dimasukan kedalam editor sebagai URL statis. Tidak akan terupdate jika dasar konfigurasi sistem URL berubah."
"Apply MAP (Default Value)","Terapkan MAP (Nilai Default)"
"Apply To","Terapkan Ke"
"Approved","Disetujui"
"Are you sure you want to delete this category?","Anda yakin ingin menghapus kategori ini?"
"Are you sure you would like to remove all products from your comparison?","Anda yakin ingin menghapus semua produk dari perbandingan?"
"Are you sure you would like to remove this item from the compare products?","Apa anda yakin ingin menghapus item ini dari perbandingan produk?"
"Are you sure?","Anda yakin??"
"As low as:","Serendah:"
"Assign","Tetapkan"
"Assign product link","Tetapkan link produk"
"Assign product to category","Tetapkan produk ke kategori"
"Assigned Products","Tetapkan Produk"
"Associated Products","Produk Terkait"
"Attrib. Set Name","Set Nama atribut"
"Attribute ""%s"" is invalid.","Atribut ""%s"" tidak valid."
"Attribute ""%s"" is required.","Atribut ""%s"" wajib."
"Attribute Information","Informasi Atribut"
"Attribute Model","Model Atribut"
"Attribute Name:","Nama Atribut:"
"Attribute Set","Set Atribut"
"Attribute Sets","Set-set Atribut"
"Attribute add","Penambahan atribut"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Kode atribut tidak valid. Mohon hanya gunakan huruf (a-z), angka (0-9) atau garisbawah (_) di dalam field ini, karakter pertama diharuskan huruf."
"Attribute group with the \"/name/\" name already exists","Grup atribut dengan \"/nama/\" nama sudah terdata"
"Attribute remove","Hapus atribut
"Attribute with the same code already exists","Atribut dengan kode yang sama sudah ada"
"Attributes","Atribut"
"Attrribute names can be specified per store.","Nama atribut bisa ditentukan per toko."
"Autogenerate","Autogenerate"
"Availability:","Ketersediaan:"
"Back","Kembali"
"Backend Model","Backend Model"
"Backend Table","Backend Tabel"
"Backend Table Title","Judul Backend Tabel"
"Backorders","Backorders"
"Based On","Berdasarkan"
"Before Order Confirmation","Sebelum Konfirmasi Pemesanan"
"Best Value","Nilai Terbaik"
"Block after Info Column","Block setelah Kolom Info"
"Bottom Block Options Wrapper","Opsi Block Bawah Wrapper"
"Bottom/Left","Bawah/Kiri"
"Bottom/Right","Bawah/Kanan"
"Browse By","Jelajahi Dengan"
"Bundle Items","Item Bundle"
"Buy %1$s","Beli %1$s"
"Buy %1$s for","Beli %1$s untuk"
"Buy %1$s for %2$s","Beli %1$s untuk %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Beli %1$s untuk %2$s (%3$s termasuk pajak) masing-masing"
"Buy %1$s for %2$s each","Beli %1$s untuk %2$s masing-masing"
"Cache Lifetime (Seconds)","Cache Seumur hidup (Detik)"
"Cache refresh needed.","Penyegaran cache dibutuhkan."
"Can be Divided into Multiple Boxes for Shipping","Dapat dibagi menjadi beberapa box Untuk pengiriman"
"Can be used only with catalog input type Dropdown","Hanya bisa digunakan dengan input tipe katalog Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Hanya bisa digunakan dengan input tipe katalog Dropdown, Beberapa Pilihan dan Harga"
"Can\'t create image.","Tidak dapat membuat gambar."
"Cancel","Batalkan"
"Cannot create image.","Tidak dapat membuat gambar."
"Cannot create writeable directory '%s'.","Tidak dapat membuat directori yang dapat ditulisi/ubah '%s'."
"Cart Item Attribute","Atribut Item Kantung Belanja"
"Catalog","Katalog"
"Catalog Category (Anchor)","Kategori Katalog (Anchor)"
"Catalog Category (Non-Anchor)","Kategori Katalog (Non-Anchor)"
"Catalog Category (Without Subcategories)","Kategori Katalog (Tanpa Subkategori)"
"Catalog Category Link","Link Kategori Katalog"
"Catalog New Products List","Katalog Daftar Produk Baru "
"Catalog Price Scope","Katalog Lingkup Harga"
"Catalog Product Compare List","Katalog Daftar Perbandingan Produk"
"Catalog Product Email to a Friend","Katalog Produk Email ke Teman"
"Catalog Product Image Gallery Popup","Katalog Produk Popup Galeri gambar"
"Catalog Product Link","Link Katalog Produk"
"Catalog Product View (Any)","Tinjau Katalog Produk (Apapun)"
"Catalog Product View (Configurable)","Tinjau Katalog Produk (Dikonfigurasi)"
"Catalog Product View (Grouped)","Tinjau Katalog Produk (Grup)"
"Catalog Product View (Simple)","Tinjau Katalog Produk (Simple)"
"Catalog Product View (Virtual)","Tinjau Katalog Produk (Virtual)"
"Catalog Section","Bagian Katalog"
"Catalog Seo Sitemap (Category List)","Seo Sitemap Katalog (Daftar Kategori)"
"Catalog Seo Sitemap (Category Tree)","Seo Sitemap Katalog (Turunan Kategori)"
"Catalog Seo Sitemap (Common)","Seo Sitemap Katalog (Umum)"
"Catalog Seo Sitemap (Product List)","Seo Sitemap Katalog (Daftar Produk)"
"Catalog URL Rewrites","URL Rewrites Katalog"
"Catalog product custom option values API","Katalog Nilai Opsi Custom Produk API"
"Catalog product custom options API","Katalog Opsi Custom Produk API"
"Catalog, Search","Katalog, Pencarian"
"Categories","Kategori"
"Categories Sitemap","Kategori Sitemap"
"Category","Kategori"
"Category API","Kategori API"
"Category Data","Kategori Data"
"Category Flat Data","Kategori Flat Data"
"Category Link Block Template","Kategori Link Block Template"
"Category Link Inline Template","Kategori Link Inline Template"
"Category Products","Kategori Produk"
"Category Top Navigation","Kategori Navigasi Atas"
"Category URL Suffix","Kategori Akhiran URL"
"Category attributes API","Kategori API Atribut"
"Category move error","Kategori kesalahan langkah"
"Category move error %s","Kategori kesalahan pergerakan %s"
"Category move operation is not possible: parent category is equal to child category.","Operasi pergerakan kategori tidak memungkinkan: parent kategori setara dengan child kategori."
"Category move operation is not possible: the current category was not found.","Operasi pergerakan kategori tidak memungkinkan: kategori saat ini tidak ditemukan."
"Category move operation is not possible: the new parent category was not found.",Operasi pergerakan kategori tidak memungkinkan: parent kategori baru tidak ditemukan."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategori harus merupakan instansi dari Mage_Catalog_Model_Category."
"Center","Pusat"
"Change","Ubah"
"Change or Retrieve attribute store view","Ubah atau Ambil atribut tampilan toko"
"Change status","Ganti status"
"Check items to add to the cart or","Centang item untuk ditambahkan kedalam kantung belanja atau"
"Choose an Option...","Pilih Opsi..."
"Clear All","Bersihkan Semua"
"Clear Price","Bersihkan Harga"
"Click for price","Klik untuk Harga"
"Close Window","Tutup Jendela"
"Collapse All","Tutup Semua"
"Comma-separated.","Dipisahkan-koma."
"Comparable","Sebanding"
"Comparable on Front-end","Disebandingkan pada Front-end"
"Comparable on the Frontend","Disebandingkan pada Frontend"
"Compare","Bandingkan"
"Compare Products","Bandingkan Produk"
"Conditions Combination","Kondisi Kombinasi"
"Configurable Product","Konfigurasi Produk"
"Configurable Product Settings","Konfigurasi Pengaturan Produk"
"Configure Product","Konfigurasi Produk"
"Continue","Lanjutkan"
"Copy From Configurable","Salin dari Konfigurasi"
"Country/State","Negara"
"Create","Buat"
"Create (Upload)","Buat (Unggah)"
"Create Empty","Buat Kosong"
"Create Permanent Redirect for URLs if URL Key Changed","Buat Pengalihan Permanen untuk URLs jika URL Key Berubah"
"Create Permanent Redirect for old URL","Buat Pengalihan Permanen untuk URL lama"
"Create Product Settings","Buat Pengaturan Produk"
"Create Simple Associated Product","Buat Produk Terkait yang Sederhana"
"Create attribute set based on another set","Buat set atribut berdasar lain"
"Create new attribute","Buat atribut baru"
"Create new category","Buat kategori baru"
"Create new product","Buat produk baru"
"Cross-sells","Cross-sells"
"Currently Shopping by:","Saat ini Belanja oleh:"
"Custom Design","Design Custom"
"Custom Options","Opsi Custom"
"Custom options","Opsi custom"
"Customer Group","Grup Pelanggan"
"Customers Reviews","Ulasan Pelanggan"
"Customers Tagged Product","Produk yang Ditandai Pelanggan"
"Data Type for Saving in Database","Tipe Data untuk Menyimpan dalam Database"
"Date & Time Custom Options","Waktu & Tanggal Opsi Custom"
"Date Fields Order","Fields Tanggal Pesanan"
"Date Subscribed","Tanggal Berlangganan"
"Datetime","Tanggal Waktu"
"Decimal","Desimal"
"Declare attribute value saving scope","Deklarasikan lingkup penyimpanan nilai atribut"
"Default ""What's This"" Text Message","Standar ""Apa Ini"" Pesan Teks"
"Default Popup Text Message","Standar Popup Teks Pesan"
"Default Price","Standar Harga"
"Default Price Navigation Step","Standar Langkah Navigasi Harga"
"Default Qty","Kondisi awal Qty"
"Default Values","Nilai Awal"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definisikan dasar lingkup mata uang (""Penyiapan mata uang"" > ""Opsi Mata uang"" > ""Mata uang dasar"")."
"Delete","Hapus"
"Delete Attribute","Hapus Atribut"
"Delete Attribute Set","Hapus Set Atribut"
"Delete Category","Hapus Kategori"
"Delete Group Price","Hapus Grup Harga"
"Delete Option","Hapus Opsi"
"Delete Row","Hapus Baris"
"Delete Search","Hapus Pencarian"
"Delete Selected Group","Hapus Grup yang Terpilih"
"Delete Tier","Hapus Tingkatan"
"Delete attribute","Hapus atribut"
"Delete category","Hapus kategori"
"Delete product","Hapus produk"
"Depends on design theme","Bergantung pada tema design"
"Design","Design"
"Details","Detail"
"Disabled","Dimatikan"
"Disallowed file type.","Tipe file yang tidak diizinkan."
"Display Actual Price","Tampilkan harga sebenarnya"
"Display Page Control","Tampilkan Kontrol Halaman"
"Display Price Interval as One Price","Tampilkan Jenjang Harga sebagai Satu Harga"
"Display Product Count","Tampilkan Perhitungan Produk "
"Display Type","Tipe Tampilan"
"Display in Suggested Terms","Tampilan pada Istilah yang Disarankan"
"Double click on a group to rename it","Double klik pada grup untuk mengubah nama"
"Double click on above image to view full picture","Double klick pada gambar diatas untuk melihat gambar utuh"
"Downloadable Information","Informasi yang bisa Diunduh"
"Duplicate","Salin"
"Duplicate website group price customer group.","Salin website grup harga di group pelanggan."
"Duplicate website tier price customer group and quantity.","Salin website tingkatan harga grup pelanggan dan kuantitas."
"Duplicate website, country and state tax found.","Salin website, pajak negara ditemukan."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/gambar.jpg""}} {{skin url=""path/to/gambar.gif""}}. Arahan dinamis menguraikan dampak kinerja katalog."
"Edit","Edit"
"Edit Attribute Set '%s'","Edit Set Atribut '%s'"
"Edit Product Attribute","Edit Atribut Produk"
"Edit Product Attribute ""%s""","Edit Atribut Produk ""%s"""
"Edit Search","Edit Pencarian"
"Edit Search '%s'","Edit Pencarian '%s'"
"Edit Set Name","Edit Nama Set"
"Email","Email"
"Email to a Friend","Email ke Teman"
"Empty","Kosong"
"Enable MAP","Nyalakan MAP"
"Enable Qty Increments","Nyalakan kenaikan Qty"
"Enable WYSIWYG","Nyalakan WYSIWYG"
"Enable for reindexing a big number of SKUs.","Nyalakan untuk mengindeks sejumlah besar SKUs."
"Enabled","Diaktifkan"
"Error during retrieval of option value: %s","Kesalahan selama pengambilan nilai opsi: %s"
"Exclude","Pengecualian"
"Expand All","Mengembangkan Semua"
"Failed","Gagal"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Gagal menyalin file %s. Mohon, hapus media yang memiliki gambar yang tidak ada dan coba lagi."
"Failed to move file: %s","Gagal memindahkan file: %s"
"Feature Products","Fitur Produk"
"Field is not complete","Field tidak lengkap"
"File options format is not valid.","Format opsi file tidak valid."
"File upload failed","Gagal menggunggah file"
"Filter model name must be declared.","Nama model filter harus dinyatakan."
"Filter must be an object. Please set correct filter.","Filter haruslah sebuah obyek. mohon set filter yang tepat."
"Filterable (no results)","Dapat difilter (tidak ada hasil)"
"Filterable (with results)","Dapat difilter (dengan hasil)"
"First Name","Nama Depan"
"Fixed","Disesuaikan"
"For internal use.","Untuk penggunaan pribadi."
"For the last time placed.","Untuk terakhir kalinya ditempatkan."
"Frontend","Frontend"
"Frontend Model","Model Frontend"
"Frontend Properties","Properti Frontend"
"Gallery","Galeri"
"General Information","Informasi Umum"
"Get full information about attribute with list of options","Dapatkan informasi penuh mengenai attribute dengan daftar opsi"
"Get full information about custom option in product","Dapatkann informasi penuh mengenai opsi custom dalam produk"
"Get list of available custom option types","Dapatkan daftar tipe opsi custom yang tersedia"
"Get list of non-default attributes by product type and attributes set","Dapatkan Daftar bukan atribut awal oleh tipe produk dan set atribut"
"Get list of possible attribute types","Dapatkan daftar kemungkinan tipe atribut"
"Get special price","Dapatkan harga spesial"
"Global","Global"
"Globally Editable","Dapat diedit secara Global"
"Go to Home Page","Menuju ke Halaman Utama"
"Grid","Grid"
"Group add","Tambah grup"
"Group remove","Hapus grup"
"Grouped Product","Produk ter-grup"
"Groups","Grup"
"Home","Utama"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Jika kosong, Nama kategori akan digunakan"
"If empty, the Product Name will be used","Jika kosong, Nama produk akan digunakan"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Jika anda tidak menentukan nilai opsi untuk tampilan toko tertentu maka nilai awal (Admin) akan digunakan."
"Image","Gambar"
"Image content is not valid base64 data.","Konten Gambar bukanlah data base64 yang valid."
"Image does not exist.","Gambar tidak ada."
"Image file was not found.","File gambar tidak ditemukan."
"Image type and information need to be specified for each store view.","Tipe gammbar dan informasi butuh ditentukan untuk masing-masing tampilan toko."
"In Cart","Dalam Kantung Belanja"
"In Stock","Dalam Stok"
"In stock","Dalam Stok"
"Incl. Tax","Termasuk Pajak"
"Index product and categories URL rewrites","Indeks pkategori dan produk URL rewrites"
"Index product attributes for layered navigation building","Indeks atribut produk untuk pendirian navigasi berlapis"
"Index product prices","Indeks harga produk"
"Indexed category/products association","Gabungan kategori/produk terindeks"
"Info","Info"
"Info Column Options Wrapper","Kolom info opsi Wrapper"
"Input Type","Tipe Masukan"
"Integer","Integer"
"Interval Division Limit","Batas Jeda Divisi"
"Invalid Tier Prices","Tingkatan Harga Tidak Valid"
"Invalid attribute %s","Atribut tidak valid %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opsi atribut tidak valid ditentukan untuk atribut %s (%s), arsip dilewati."
"Invalid attribute set specified, skipping the record.","Atribut set yang ditentukan tidak valid, arsip dilewati."
"Invalid block: %s.","Block tidak valid: %s."
"Invalid category IDs.","ID kategori tidak valid."
"Invalid category.","Kategori tidak valid."
"Invalid image file type.","Tipe file gambar tidak valid."
"Invalid image type.","Tipe gambar tidak valid."
"Invalid option ID specified for %s (%s), skipping the record.","Opsi ID yang tidak valid ditetapkan untuk %s (%s), arsip dilewati."
"Invalid product type specified, skipping the record.","Tipe produk tidak valid ditetapkan, arsip dilewati."
"Invalid store specified","Ketidak validan toko ditentukan"
"Invalid store specified, skipping the record.","Ketidak validan toko ditentukan, arsip dilewati."
"Invalid tier prices. The product is not associated to the requested website.","Tingkatan harga tidak valid. Produk tidak terhubung pada permintaan website."
"Inventory","Persediaan"
"Is Default","Kondisi Awal"
"Is Required","Wajib"
"Items %s to %s of %s total","Item %s ke %s dari %s total"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Item yang tidak ingin anda tunjukan di katalog atau hasil pencarian harus memiliki status 'Dimatikan' pada toko yang diinginkan."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Item yang tidak ingin anda tunjukan di katalog atau hasil pencarian harus memiliki status 'Dimatikan' pada toko yang diinginkan."
"Keep your eyes open for our special Back to School items and save A LOT!","Ikuti perkembangan untuk item spesial Kembali ke Sekolah kami dan hemat BANYAK!"
"Label","Label"
"Last Name","Nama Belakang"
"Last Notification","Notifikasi Terakhir"
"Layered Navigation","Navigasi Berlapis"
"Learn More","Pelajari Lebih Banyak"
"Line %d, Email: %s","Baris %d, Email: %s"
"Line %d, SKU: %s","Baris %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Terkait, Up sell, Cross sell)"
"Link product does not exist.","Link produk tidak ada."
"Link to a Specified Category","Link menuju kategori tertentu"
"Link to a Specified Product","Link menuju produk tertentu"
"List","Daftar"
"List Mode","Mode Daftar"
"List of Products that are set as New","Daftar Produk yang diset sebagai Produk Baru"
"List of types","Daftar Tipe"
"Manage Attribute Sets","Kelola Set Atribut"
"Manage Attributes","Kelola Atribut-atribut"
"Manage Catalog Categories","Kelola Kategori Katalog"
"Manage Categories","Kelola Kategori"
"Manage Label / Options","Kelola Label / Opsi"
"Manage Options (values of your attribute)","Kelola Opsi (Nilai dari atribut anda)"
"Manage Product Attributes","Kelola Atribut Produk"
"Manage Product Sets","Kelola Set Produk"
"Manage Products","Kelola Produk-produk"
"Manage Stock","Kelola Stok"
"Manage Titles (Size, Color, etc.)","Kelola Judul (Ukuran, Warna, dsb.)"
"Max Characters","Maksimal Karakter"
"Maximal Depth","Kedalaman Maksimal"
"Maximum Image Size","Ukuran Gambar Maksimal"
"Maximum Number of Price Intervals","Jumlah Selang Harga Maksimal"
"Maximum Qty Allowed in Shopping Cart","Qty Maksimal yang Dibolehkan pada Kantung Belanja"
"Maximum allowed image size for '%s' is %sx%s px.","Maksimal ukuran gambar yang diperbolehkan untuk '%s' adalah %sx%s px."
"Maximum image height","Tinggi maksimal gambar"
"Maximum image width","Lebar Maksimal gambar"
"Maximum number of characters:","Jumlah maksimal karakter:"
"Maximum number of price intervals is 100","Maksimal jumlah selang harga adalah 100"
"Media Image","Media Gambar"
"Minimum Advertised Price","Minimal Harga Periklanan"
"Minimum Lines per Page","Baris Minimal per Halaman"
"Minimum Qty Allowed in Shopping Cart","Qty Minimal yang Dibolehkan pada Kantung Belanja"
"Minimum Qty for Item\'s Status to be Out of Stock","Qty Minimal untuk Status Item menjadi Persediaan Habis"
"Missing SKU, skipping the record.","SKU Hilang, Arsip dilewati."
"More Views","Tinjau Lainnya"
"Move","Pindahkan"
"Move category in tree","Pindahkan Kategori pada tree"
"Must be in the allowed values list.","Harus berada pada daftar nilai yang diizinkan."
"N/A","Tidak Tersedia"
"Name","Nama"
"Name in %s","Nama pada %s"
"New Product","Produk Baru"
"New Product Attribute","Atribut Produk Baru"
"New Products","Produk baru"
"New Products Grid Template","Template Grid Produk Baru"
