"%s %s cycle.","%s %s siklus."
"--Please Select--","--Silahkan Pilih--"
"3D Secure Card Validation","3D Validasi Kartu Pengaman"
"3D Secure Credit Card Validation","3D Validasi Kartu kredit Pengaman"
"<label>Make Check payable to:</label> %s","<label>Lakuykan pemnayaran check ke:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","A value is required for live mode. Refer to your CardinalCommerce agreement."
"Allow Initial Fee Failure","Izinkan Kegagalan Biaya Awal"
"An internal reference ID is required to save the payment profile.","ID referensi internal dibutuhkan untuk menyimpan profil pembayaran."
"Authorize action is not available.",Tindakan otorisasi tidak tersedia."
"Auto Bill on Next Cycle","Tagihan Otomatis pada Siklus Berikutnya"
"Automatically Invoice All Items","Otomatis Faktur Semua Item"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Tagihan otomatis jumlah saldo terutang dalam siklus penagihan berikutnya (Jika ada pembayaran gagal)."
"Bank Transfer Payment","Pembayaran Transfer Bank"
"Billing Agreement status is not set.","Status Perjanjian Penagihan tidak ditetapkan."
"Billing Amount","Jumlah Tagihan"
"Billing Frequency","Frekuensi Tagihan"
"Billing Period","Periode Tagihan"
"Billing Period Unit","Unit Periode Penagihan"
"Billing period unit is not defined or wrong.","Periode Penagihan tidak ditetapkan atau salah."
"Cannot retrieve the payment info model object.","Tidak dapat mengambil info objek model."
"Cannot retrieve the payment information object instance.","Tidak dapat mengambil contoh objek informasi pembayaran."
"Cannot retrieve the payment method code.","Tidak dapat mengambil kode metode pembayaran."
"Cannot retrieve the payment method model object.","Tidak dapat mengambil objek model metode pembayaran."
"Capture action is not available.","Tindakan tangkapan tidak tersedia."
"Card Verification Number","Nomor Verifikasi Kartu"
"Cash On Delivery Payment","Kas pada saat pembayaran"
"Centinel API URL","Centinel API URL"
"Check / Money Order","cek / Wesel"
"Credit Card Number","Nomer Kartu Kredit"
"Credit Card Type","Tipe Kartu Kredit"
"Credit Card Types","Tipe Kartu Kredit"
"Credit card number mismatch with credit card type.","Nomer kartu kredit tidak cocok dengan tipe kartu kredit."
"Credit card type is not allowed for this payment method.","Tipe kartu kredit tidak diizinkan untuk metode pembayaran ini."
"Currency","Mata uang"
"Currency code is undefined.","Kode mata uang tidak ditetapkan."
"Customer ID is not set.","ID pelanggan tidak ditetapkan."
"Day","Hari"
"Debug Mode","Mode Debug"
"Enabled","Diaktifkan"
"Expiration Date","Tanggal kadaluarsa"
"Full name of the person receiving the product or service paid for by the recurring payment.","Nama lengkap penerima produk atau layanan yang dibayar dengan pembayaran berulang."
"Incorrect credit card expiration date.","Tanggal kadaluarsa kartu kredit salah."
"Initial Fee","Biaya awal"
"Initial non-recurring payment amount due immediately upon profile creation.","Jatuh tempo jumlah pembayaran awal yang tidak berulang pada pembuatan profil."
"Instructions","Instruksi"
"Internal Reference ID","ID Referensi Internal"
"Invalid Credit Card Number","Nomer Kartu Kredit Tidak Valid"
"Issue Number","Nomer pembuatan"
"Make Check Payable to","Jadikan Hutang Cek ke"
"Make Check payable to:","Jadikan Hutang Cek ke:"
"Make Check payable to: %s","Jadikan Hutang Cek ke: %s"
"Maximum Billing Cycles","Maksimal Siklus Penagihan"
"Maximum Order Total","Maksimal Total Pesanan"
"Maximum Payment Failures","Maksimal Kegagalan pembayaran"
"Maximum Trial Billing Cycles","Maksimal Siklus Penagihan Percobaan"
"Merchant ID","ID Penjual"
"Minimum Order Total","Minimal Total Pesanan"
"Month","Builan"
"N/A","Tidak Tersedia"
"Name on Card","Nama pada Kartu"
"Name on the Card","Nama pada Kartu"
"New Order Status","Status Pesanan Baru"
"Number of billing periods that make up one billing cycle.","Jumlah periode penagihan yang membentuk satu siklus penagihan."
"Order action is not available.","Tindakan pesanan tidak tersedia."
"Overrides API URL that may be specified by a payment method.","Mengganti URL API yang mungkin ditentukan dengan metode pembayaran."
"Password","Kata sandi"
"Payment Method","Metode Pembayaran"
"Payment Methods","Metode Pembayaran"
"Payment Methods Section","Bagian Metode Pembayaran"
"Payment Reference ID","ID referensi pembayaran"
"Payment Services","Layanan Pembayaran"
"Payment from Applicable Countries","Pembayaran dari Negara yang Berlaku"
"Payment from Specific Countries","Pembayaran dari Negara Tertentu"
"Payment method code is not set.","Kode metode pembayaran tidak diset."
"Payment method code is undefined.","Kode metode pembayaran tidak ditetapkan."
"Payment profile is invalid:\n%s","Profil pembayaran tidak valid:\n%s"
"Period frequency is wrong.","Periode frekuansi salah."
"Please enter a valid credit card verification number.","Harap masukkan nomor verifikasi kartu kredit yang valid."
"Processor ID","ID Prosesor"
"Purchase Order","Pembelian Pesanan"
"Purchase Order Number","Nomer Pembelian Pesanan"
"Purchase Order Number:","Nomer Pembelian Pesanan:"
"Purchase Order Number: %s","Nomer Pembelian Pesanan: %s"
"Recurring Profile Start Date","Tanggal Mulai Berulang"
"Recurring profile start date has invalid format.","Tanggal mulai profil berulang memiliki format yang tidak valid."
"Reference ID is not set.","ID referensi tidak diatur."
"Refund action is not available.","indakan pengembalian tidak tersedia."
"Repeats %s time(s).","Mengulangi %s waktu(beberapa)."
"Repeats until suspended or canceled.","Berulang sampai ditangguhkan atau dibatalkan."
"Request Card Security Code","Kode keamanan kartu permintaan"
"Saved CC","Disimpan CC"
"Schedule Description","Deskripsi Jadwal"
"Schedule description must be not empty.","Deskripsi jadwal tidak boleh kosong."
"Selected payment type is not allowed for billing country.","Jenis pembayaran yang dipilih tidak diizinkan untuk negara penagihan."
"Send Check to","Kirim Cek ke"
"Send Check to:","Kirim Cek ke:"
"Severe 3D Secure Card Validation","Validasi Kartu Secure 3D yang berat"
"Severe validation removes chargeback liability on merchant.","Validasi yang berat akan menghilangkan tanggungan tagihan pada pedagang."
"Shipping Amount","Jumlah Kiriman"
"Short description of the recurring payment. By default equals to the product name.","Penjelasan singkat tentang pembayaran berulang. Secara standar sama dengan nama produk."
"Sort Order","Urutkan Pesanan"
"Start Date","Tanggal Mulai"
"Start date has invalid format.","Tanggal miulai memiliki format yang tidak valid."
"Start date is undefined.","Tanggal mulai tidak ditetapkan."
"Subscriber Name","Nama Pelanggan"
"Switch/Solo/Maestro Issue Number","Nomor Isu Switch / Solo / Maestro"
"Switch/Solo/Maestro Only","Hanya Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Tanggal Mulai Switch/Solo/Maestro"
"Tax Amount","Jumlah Pajak"
"Test Mode","Mode Test"
"The date when billing for the profile begins.","Tanggal saat penagihan untuk profil dimulai."
"The number of billing cycles for payment period.","Jumlah siklus penagihan untuk periode pembayaran."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Jumlah pembayaran terjadwal yang dapat gagal sebelum profil ditangguhkan secara otomatis."
"The payment review action is unavailable.","Tindakan ulasan pembayaran tidak tersedia."
"The requested Payment Method is not available.","Metode Pembayaran yang diminta tidak tersedia."
"Title","Judul"
"Trial Billing Amount","Jumlah Tagihan Percobaan"
"Trial Billing Frequency","Frekuensi Tagihan Percobaan"
"Trial Billing Period Unit","Unit Periode Tagihan Percobaan"
"Trial Period","Periode Percobaan"
"Trial billing amount is wrong.","Jumlah tagihan percobaan salah."
"Trial billing period unit is wrong.","Unit periode tagihan percobaan salah."
"Trial period frequency is wrong.",Frekuensi tagihan percobaan salah."
"Trial period max cycles is wrong.","Maksimal siklus periode percobaan salah."
"Two Weeks","Dua Minggu"
"Unable to save Billing Agreement:","Tidak dapat menyimpan Perjanjian Penagihan:"
"Unit for billing during the subscription period.","Unit untuk penagihan selama periode berlangganan."
"Unsupported currency code: %s.","Kode mata uang tidak didukung: %s."
"Void action is not available.","Tindakan void tidak tersedia."
"Week","Minggu"
"What is this?","Apa ini?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Apakah akan menangguhkan profil pembayaran jika biaya awal gagal atau ditambahkan ke saldo terutang."
"Wrong %s specified.","Kesalahan %s ditentukan."
"Wrong or empty billing amount specified.","Jumlah tagihan salah atau kosong ditentukan."
"Year","Tahun"
"Zero Subtotal Checkout","Subtotal ke Kasir Nol"
